Text,Title,Publisher,Relevant,Stance
"Iltasanomate käsutuses on mobiiltelefoniga filmitud videolõik, kus on näha ööklubi ees politsei saabumist oodates selja taha seotud kätega Myllylät maas lamamas ja üritamas turvamehi lüüa.",Myllylä mürgeldas ööklubis,Õhtuleht Kirjastus,No,NA
Jaapani politsei on alustanud uurimist Tokyo olümpia korralduskomitee võimaliku korruptsiooni osas.,Korruptsioonikahtlus Tokyo olümpia korralduskomitees,muud,No,NA
"Jeruusalemmas toimunud rahutuste käigus sai vigastada mitu inimest, teatas Iisraeli politsei.",Vigastatud Jeruusalemma rahutustes,muud,No,NA
"Ka kogu laupäeva tegelesid politseinikud inimeste sõna otseses mõttes väljatõrjumisega parlamendihoone piirkonnast, mida politseinikud juba rohkem kui 100 päeva on pidanud oma operatiivalaks.",Ungari teel politseiriigiks,Õhtuleht Kirjastus,No,NA
"Kabuli politseijuhi kindral Ali Shah Paktiwal sõnul on tegu Nõukogude kaitseministeeriumile kuulunud vanglaga, mis ehitati sõjaväebaasi arvatavasti 1980-ndatel.",Afganistanis tuli päevavalgele nõukogudeaegne sadade laipadega massihaud,Ekspress Grupp,No,NA
"Kanada piirivalve pidas kinni 25 isikut, kes üritasid ebaseaduslikult USA-Kanada piiri ületada.",USA-Kanada piiril 25 isikut kinni peetud,muud,No,NA
"Kõigepealt arvas Soome kaitsepolitsei, et Pekka nime alla varjus Soome diplomaat Alpo Rusi ja mehele esitati spioneerimissüüdistus.",Soomes nõuab süütult spiooniks peetu riigilt kahjutasuks miljoneid,Ekspress Grupp,No,NA
"Kolmandal mail Portugalis oma hotellitoast kadunud Madeleine McCanni isa kuulab politsei üle reede pärastlõunal, kirjutab BBC.",Kadunud Madeleine'i ema viibis 11 tundi ülekuulamisel,Ekspress Grupp,No,NA
Küberkuritegude sagenemise tõttu andis Norra PPA välja avaliku hoiatuse.,Küberkuritegude kasv Norras,muud,No,NA
"Kui oli koos piisavalt palju tõendeid, korraldas politsei haarangu, mille käigus arreteeriti viis inimest.",Dopingulaboriga seotud tippratturi Ivan Basso aus ülestunnistus: Tahtsin dopingut pruukida,Õhtuleht Kirjastus,No,NA
"Kuigi ta oli horvaat, rääkis ta inglise keelt hästi, » sõnas politseiallikas ajalehele The Sun.",Horvaatia jalgpallijuht varastas ?,Õhtuleht Kirjastus,No,NA
"Kuna purjus inimesed on siiski suhteliselt süütu rahvas, ei ole põhjust karta, et võõra riigi politsei liialt teise maa siseasjadesse tungib.",Ugrimugrid,Õhtuleht Kirjastus,No,NA
"Kurdide eilne kokkupõrge piirivalvevägedega toimus Türgi pool Hakkari provintsis nelja kilomeetrit kaugusel piirist, kus hiljem terve päeva tiirutasid Türgi õhujõudude lennukid ja kopterid.",Kurdide ja türklaste eilne kokkupõrge võib süüdata sõja,Õhtuleht Kirjastus,No,NA
"Küsimusele, miks britid kinni võeti ja läbi otsiti, vastas politsei pressiesindaja Aigars Berzinš, et politseil oli operatiivinfot, mille alusel tegutseti.",Riias tabati kolm kokaiiniga poissmeest,Õhtuleht Kirjastus,No,NA
"Läinud laupäeva pärastlõunal arreteeris Bornholmi politsei kohaliku interneti uudisteportaali ja telekanali teateil kaks Eesti kalurit, kui nende traaler oli Nexø sadamas sisse sõitnud päästelaevale Leopold Rosenfeldt.",Purjus kalurid rammisid Taani merepäästelaeva,Ekspress Grupp,No,NA
"Lapse hülgemise lugu sai aga ootamatu pöörde, kui Austraalia politsei sai teada, et Uus-Meremaal on lapse ema, proua Xue, juba 10. septembrist saati kadunud.",Austraalias põimub hüljatud lapse ümber mõrvalugu,Ekspress Grupp,No,NA
Londoni Metropolitan Police võitles edukalt narkokaubanduse vastu spetsiaalse operatsiooni käigus.,Londoni politsei löök narkokaubandusele,muud,No,NA
"Madeleine'i vanemad avaldasid möödunud nädala lõpul Portugali politsei nõusolekul ka FBI koolitusega kunstniku joonistatud pildi lõunaeurooplase välimusega lühemat kasvu mehest, kes kandis süles pidžaamas last.",Madeleine McCanni otsitakse Marokost,Õhtuleht Kirjastus,No,NA
"Me mäletame, kuidas välisriikide piirivalve lemmikvõte oli kangutada küünega lahti passi fotoga leheküljele katnud turvakilet.",Banaaniriigi pass,Õhtuleht Kirjastus,No,NA
"Me püüame hetkel tuvastada pommis kasutatud lõhkeaine täpset koostist, "" sõnas uudisteagentuurile AFP anonüümsust palunud India politsei kõrge ametnik.",Kaheksane uudis: Indias plahvatas kinos keset filmi pomm,Ekspress Grupp,No,NA
"Meeleavaldused algasid neljapäeval, kui märulipolitsei oli kopterite ja kraanade abil eelmisel ööl tunginud noorte Ungdomshuset-majja Norrebro linnajaos.",Taani võimud taltsutavad jõuliselt noortekultuuri,Õhtuleht Kirjastus,No,NA
"Mees ründas naist ja rebis tal hammastega kõrva peast, teatas Soome politsei.",Soomes rebiti naisel kõrv peast,Õhtuleht Kirjastus,No,NA
"Meestele saadi jälile pärast seda, kui üks sihikule võetud tüdruk maksis neile suure summa raha, et nad teda ei vägistaks, ja läks seejärel politseisse.",Iraanis poodi rahva ees kolm vägistajat,Õhtuleht Kirjastus,No,NA
Mehhiko politsei tegi avalikuks kohaliku PPA narkokartelli liidri vahistamise.,Mehhiko narkokartelli liider vahistatud,muud,No,NA
Melbourne'is aset leidnud mitme inimröövi uurimise on võtnud enda kätte Austraalia politsei.,Mitmed inimröövid Melbourne'is,muud,No,NA
"Möödunud nädalal kihutas purjus politseinik Skuodase rajoonis autoga otsa koolist tulnud lastele, kelle seast kolm kümneaastast poissi said surma.",Leedus lahkusid ametist siseminister ja politseijuht,Õhtuleht Kirjastus,No,NA
Moskvas pidas politsei kinni mitu opositsioonimeeleavaldusega seotud isikut.,Opositsioonimeeleavaldajad Moskvas vahistatud,muud,No,NA
"Nad leiti majast, mis asub Carnationi väikelinna lähistel eraldatud maavaldusel, ütles Kingi maakonna politseiseersant John Urquhart.",Ameerika Ühendriikides toimus jõululaupäeval kuuikmõrv,Õhtuleht Kirjastus,No,NA
Napoli sadamas konfiskeerisid Carabinieri laia valiku ebaseaduslikke relvi.,Suur relvapartii konfiskeeritud Napolis,muud,No,NA
"Neist 30 275 usaldas e-hääletust.SL Õhtuleht kutsub kõiki üles valima minema. Kõik, kel selleks võimalus, peaks parema Eesti ja tuleviku nimel homme kindlasti valimisjaoskonda minema.",Vali Eesti !,Õhtuleht Kirjastus,No,NA
"New Yorgis Times Square'il toimunud tulistamises on kolm kannatanut, teatas kohalik politsei pressiesindaja.",Kolm kannatanut Times Square'i tulistamises,muud,No,NA
Nimelt oli politsei sulgenud libeduse tõttu mitu kiirteed ja mõistagi tuli lisakoormus ( veel ) käigus olevatele teedele.,Saksamaal jäävangis . Abimeesteta,Õhtuleht Kirjastus,No,NA
Õnneks sa ikka moepolitsei pole ja kindlasti selleks kunagi ei kvalifitseeru,Pingviinide paraadi parimad ja halvimad palad,muud,No,NA
"Ööl vastu pühapäeva, umbes kella poole kahe ajal viidi Snoop Dogg ning üks 23-aastane naisterahvas Södermalmi politseijaoskonda, vahendab Thelocal.se",Snoop Dogg jäi Rootsis narkootikumidega vahele,Ekspress Grupp,No,NA
Opositsiooniliidri taolised seisukohad olevatki peaministri sõnul viinud politsei demoraliseerumiseni.,Ungari politsei skandaalide keskel,Õhtuleht Kirjastus,No,NA
Oulu politsei sõnul süüdistatakse Myllylät turvamehele kallaletungimises ja ametivõimudele vastuhakkamises.,Myllylä mürgeldas ööklubis,Õhtuleht Kirjastus,No,NA
Paavsti julgeolekuteenistus pidas mehe kinni ja andis üle Vatikani politseile.,Mees püüdis paavsti autosse ronida,Ekspress Grupp,No,NA
"Paeluv ja skandaalne armastuslugu hargneb aastal 1942 jaapanlaste okupeeritud Hiinas, kus kaunis Hiina vastupanuagent ( Wei Tang ) on saadetud võrgutama kollaboratsionistlikku politseiülemat ( Tony Leung ).",Ang Leele ennustatakse Kuldlõvi,Õhtuleht Kirjastus,No,NA
"Piirivalve kahtlustab, et tules võisid oma otsa leida ka mõned Mehhikost illegaalselt üle piiri tulnud pagulased, kelle jälgi märgati eile öösel.",Californias lõõmavad taas hiiglaslikud metsatulekahjud,Õhtuleht Kirjastus,No,NA
"Piirivalvurite teatel toimus Uspaskichi vahistamine rahulikult, mis tahes vahejuhtumiteta.",Uspaskich vahistati Leetu saabumisel,Õhtuleht Kirjastus,No,NA
Politsei alustas Moskva tänaval suuroperatsiooni jõugu liikmete tabamiseks.,Moskvas ründas noortejõuk jõhkralt möödujaid,Ekspress Grupp,No,NA
"Politsei arvab endiselt, et Kate ja Gerry McCann söötsid nii Madeleine'ile kui ka tema kaheaastastele kaksikutest õele ja vennale enne sõpradega õhtusöögile minekut unerohtu.",Madeleine'i kadumine: järjest uued versioonid,Õhtuleht Kirjastus,No,NA
"Politsei ei ole veel tapetuid identifisteerinud, kuid usub, et tegemist on Aasia päritolu inimestega.",Saksamaal leiti Hiina restoranis kuus surnukeha,Ekspress Grupp,No,NA
Politsei ei suutnud Tšehhi uudisteagentuuri CTK teatel kurjategijat tabada ja peatas tänavu juurdluse.,Tšehhis viis raharöövel pool miljardit krooni,Õhtuleht Kirjastus,No,NA
Politsei on konfliktipiirkonnast tsiviilisikud evakueerinud ning korda asuvad valvama Nigeeria riiklikud relvajõud.,Nigeerias tapsid islamiäärmuslased 13 inimest,Ekspress Grupp,No,NA
"Politsei piiras rahutuste kartuses kõigepealt metallaiaga ümber Oslo raekoja ja hotelli, kus NATO külalised peatusid.",Oslos märatsesid möödunud ööl tänavatel 2000 noort,Ekspress Grupp,No,NA
"Politsei raportis on selgelt kirjas, et hotellitubadest leiti meditsiinilisi vahendeid, millega tehti keelatud toiminguid ning palju muud dopingule viitavat.",Austerlastele olümpiakeeld,Õhtuleht Kirjastus,No,NA
"Politsei sõnul nähti Mooneyt viimati neljapäeval, kui ta sõitis diplomaatilist numbrimärki kandva musta Chevrolet Salooniga.",Kadunud USA diplomaat leiti Küproselt surnuna,Ekspress Grupp,No,NA
"Politsei usalduse taastamiseks hakkas tööle nn roheline politseiliin, kuhu võivad helistada need kodanikud, kes arvavad, et politseinik pole neid õiglaselt kohelnud.",Ungari politsei skandaalide keskel,Õhtuleht Kirjastus,No,NA
"Politseiajalugu on aidanud taastada ka Havi memuaarid "" Külakubjas ”, mis ilmus järjejutuna mõne aasta eest Lääne Elus.",Jaama tänav andis välja vana revolvri,muud,No,NA
"Politseil puuduvad esialgu jäljed, mis viiksid haua lahtikaevajatele lähemale, ometi oletatakse, et nad kuuluvad paremäärmuslaste hulka.",Budapestis varastati Kadari põrm,Õhtuleht Kirjastus,No,NA
Politseiniku surmaga lõppenud fännide rahutuste järel ei saanud Itaalia jalgpalliliiga juhtkond ja riigi tipp-poliitikud enam käed rüpes istuma jääda.,Jalgpall Itaalias tühjadel staadionidel ?,Ekspress Grupp,No,NA
"Politseioperatsioone juhtinud Michael Agerbäck ütleb ajalehele Politiken, et ta pole kunagi varem kogenud nii suure järjekindlusega organiseeritud vägivallaakte ja vandalismi.",Taani võimud taltsutavad jõuliselt noortekultuuri,Õhtuleht Kirjastus,No,NA
"Pooduna leitud Bruno Piccolo, kes kuulus varasemalt ka ise maffia ridadesse, aitas politseil tuvastada 2005-aastal tapetud Itaalia poliitiku mõrvarid, edastab BBC.",Calabria maffia veretöö tunnistaja leiti surnuna,Ekspress Grupp,No,NA
"Prantsusmaa piirivalve päästis Vahemere ääres hulga migrante, kes olid teel Liibüast Euroopasse.",Prantsusmaa piirivalve päästab Vahemerel migrante,muud,No,NA
Rootsi politsei on Stockholmi piirkonnas algatanud uurimise seoses hiljutiste tulistamisjuhtumitega.,Tulistamisjuhtumid Stockholmis uurimise all,muud,No,NA
"Samuti teatas naine juhtunust Seattle'i politseile, kes tunnistab, et avaldus on olemas, kuid keeldub seda avalikustamast.",Modell süüdistab: Copperfield peksis ja vägistas mind !,Õhtuleht Kirjastus,No,NA
"Seetõttu viibivad Briti politsei ja eriteenistused kõrgendatud valmisolekus, et koheselt reageerida võimalike pantvangi võtmistele, kirjutas ajaleht The Sunday Times.",The Sunday Times: al-Qaida käskis oma rakukestel taktikat muuta,Ekspress Grupp,No,NA
"Sitsiilia vanadaam võttis oma 61aastaselt pojalt karistuseks ära koduvõtmed ja taskuraha ning viis ta politseijaoskonda, sest võsuke oli öösiti linna peal kolanud.",61aastane poeg jäeti taskurahata,Õhtuleht Kirjastus,No,NA
Soome politsei kahtlustab Espoos elavat naist oma kolme lapse tapmises ja juhtunu asjus on alustatud mõrvajuurdlust.,Soomes tappis ema oma kolm last,Õhtuleht Kirjastus,No,NA
"Soome politsei sai veebruaris Turu sadamast kätte 40 kilo hašišit, mis oli peidetud 60-aastase hollandlase autosse.",Hollandlane püüdis Soome viia 40 kilo hašišit,Ekspress Grupp,No,NA
Šveitsi piirivalve avastas Genfi lähedal ebaseadusliku migratsioonilaagri.,Šveits avastab ebaseadusliku migratsioonilaagri,muud,No,NA
"Sydney kesklinnas toimunud pussitamises leidis aset üks surmajuhtum, kinnitas politsei.",Surmaga lõppenud pussitamine Sydney's,muud,No,NA
"Tai politsei algatas kampaania kasutatud toiduõli kogumiseks, et toota patrullautode jaoks biodiiselkütust, kuna üha kerkiv nafta hind sööb kuritegevusega võitlemiseks mõeldud raha.",Tai politsei ootab toiduõli annetusi,Õhtuleht Kirjastus,No,NA
"Texase piirkonnas on USA piirivalve tugevdanud patrullimist, et võidelda inimsmuugeldamisega.",Texase piirivalve suurendab patrulle,muud,No,NA
"Uurimistöö ja valvekaamera lindistusele tuginedes väidab politsei, et neljaliikmeline vargajõuk ründas kauplust laupäeval kella 18 ajal, vahendab MTV3.",Välismaa päritolu vargad tühjendasid Soomes taas kullakauplust,Ekspress Grupp,No,NA
Vene piirivalve oli asja võtnud väga tõsiselt ja kulutas kolonni esimeste autode kontrolliks poolteist tundi per nägu.,Pensionäride teekonnal Pekingist Pariisi juhtus esimene intsident just Eesti piiril,Õhtuleht Kirjastus,No,NA
Washingtoni suurmeeleavaldusel vahistas politsei mitu inimest relvade omamise eest.,Relvadega meeleavaldajad Washingtonis,muud,No,NA
"Yangoni kesklinna on viidud kaheksa veoautotäit relvastatud märulipolitseinikke, vahendab Reuters.",Birma saatis munkade vastu märulipolitsei,Ekspress Grupp,No,NA
""" Kui politsei on saanud oma alused, muutub järelevalve merel pidevaks, "" lisas Kullerkupp.",Merepolitsei alustas hooaega,Ekspress Grupp,Yes,Neutral
""" Nimetatute näol võib väita, et vahi all on kui mitte kogu, siis suurem osa eestikeelse allilma juhtidest, "" ütles tundmatuks jääda soovinud endine kriminaalpolitseinik Päevaleht Online'ile.",Ekspolitseinik: trellide taga on eestikeelse allilma juhtkond,Ekspress Grupp,Yes,Neutral
""" Selliste õnnetuste puhul on politsei konkreetne ja resoluutne ning taotleb teo tõsidusele vastavat karistust. """,Neljale lapsele otsa sõitnud nooruk sai 30 päeva aresti,Ekspress Grupp,Yes,Positive
""" Tallinna munitsipaalpolitsei autodele paigaldatud rohelised märgutuled pole vilkurid tähenduses, mida omistab seadus punasele, sinisele ja kollasele vilkurile, "" ütles munitsipaalpolitsei ameti juhataja Kaimo Järvik Päevaleht Online'ile.",Munitsipaalpolitsei rohelised vilkurid on ebaseaduslikud,Ekspress Grupp,Yes,Neutral
1. augustist täiendab siseministeerium kaitsepolitseiameti koosseisu ühe peadirektori asetäitja ametikoha võrra.,Pihl loob Kapos peadirektori asetäitja ametikoha,Ekspress Grupp,Yes,Neutral
"14. jaanuaril kella 19.55 ajal teatati politseile, et Helme vallas Koorküla külas Tõrva – Koorküla teel kukkus sõiduauto VAZ peale puu.",Politsei,muud,Yes,Neutral
"16. oktoobril kontrollisid piirivalvurid Peipsil Varnja küla kaldast 4,5 km kaugusel mootorpaati, mida juhtis Kasepää elanik Georgi.",Kalapüügikeelu eiraja sai trahvi,Õhtuleht Kirjastus,Yes,Neutral
2003. aastal Kuressaare kesklinna püstitatud ja pärast seda linnapildis võõrkehana palju poleemikat tekitanud piirivalvemasti ei ole lähiajal kavas maha võtta.,Ajaleht: Kuressaare piirivalvemasti linnast välja viimised idee on vaibunud,Ekspress Grupp,Yes,Neutral
"4. jaanuaril kella 00.15 ajal teatati politseile, et Valgas Kuperjanovi tänaval varastati ühe maja juures seisnud madelautolt Ford Ranger redel.",Politsei,muud,Yes,Neutral
"5. – 8. aprillini korraldatud politseioperatsiooni käigus peeti kinni 29 joobes ( Valgamaal 3 ), 26 juhtimisõiguseta ( Valgamaal 1 ), 24 kiirust ületanud ning 6 alkoholi jääknähtudega juhti.",Suurenes joobes ja lubadeta juhtide arv,muud,Yes,Neutral
"Aga nendele, kes teel, pakutakse praegugi – see on saanud lausa elunormiks, et politsei on äraostetav.","Villu Vane – ilusat pensioni ! A natuke noor ei ole veel ? Üks politseinik , kelle vastu respekt !",Õhtuleht Kirjastus,Yes,Negative
"Augustis kutsuti Läänemaal politsei ebaadekvaatselt käitunud purjus mehele ning selle asemel, et mees taseriga kahjutuks teha, tulistas politsei mehe surnuks - intsidendi tulemusel jäi kolm last isata.",Ärme luba politseil muutuda miilitsaks!,muud,Yes,Negative
Avalikkus on kiitnud politsei läbipaistvust ja professionaalsust selliste juhtumite käsitlemisel.,Inimkaubandus ei tunne piire,muud,Yes,Positive
"Avalikkus on pööranud tähelepanu sellele, kuidas politsei on käsitlenud hädaabikõnesid, paljud juhtumid on jäänud reageerimata või hilinenud.",Kolumn: Hädaabiteenuste puudulikkusest,muud,Yes,Negative
"Demokraatlikes riikides on kombeks, et politsei ülemääraste jõuvõtete vastu on õigus esitada kaebus.","Veel kord ""vene mässust""",Õhtuleht Kirjastus,Yes,Neutral
Ebaefektiivne piirivalve on muutnud Eesti piirid auklikuks ja julgeolekut ohustavaks.,Eesti piiride julgeoleku küsimused vajavad lahendusi,muud,Yes,Negative
"Ebaõnnestunud investeeringud kallitesse seadmetesse on tekitanud arutelu, kas politsei rahastamine on tõhus.",Kuhu läheb politsei raha?,muud,Yes,Negative
"Eelkõige eirab võimuliit õpetajate, politseinike, pääste- ja meditsiinitöötajate jätkusuutliku palgareformi läbiviimise vajadust.",Keskerakond: koalitsioonilepe ei lahenda Eesti probleeme,Ekspress Grupp,Yes,Neutral
"Ei jõudnud me aga kuigi kaua astuda, kui jalgrattal väntas kohale julgestuspolitseinik, kes teatas kurjalt, et kobigu me tagasi kivide vahele ukerdama.",Kallasraja kius,Õhtuleht Kirjastus,Yes,Negative
"Eile pärastlõunal teatati politseile mehest, kes lahkus hommikul kell 9 kodust ning pole seni tagasi ilmunud.",Abja-Paluojal uppus mees,Ekspress Grupp,Yes,Neutral
"Enne patrullima asumist koolitab politsei vabatahtlikke, et need oskaksid käituda purjus noortega, tunda ära narkojoovet, ennast kaitsta jms.",Politsei otsib koostöökohti,muud,Yes,Neutral
"Ent kui politsei hakkaks tipptunni ajal suurematel ristmikel troppe trahvima, siis tekitaks see vähemalt esialgu veel hullemaid ummikuid, sest tee äärde rivistatud autod vähendavad veelgi tänavate läbilaskevõimet.","Minu auto , minu kodu ja kirst",Õhtuleht Kirjastus,Yes,Neutral
"Esmaspäeval toimus Türilt Tallinnasse sõitval Edelaraudtee rongil segane vahejuhtum, mille tulemusel sattus 13-aastane vaegnägijast tüdruk politseijaoskonda.",Vaegnägijast tüdruk sattus rongilt politseijaoskonda,Ekspress Grupp,Yes,Neutral
"Et järelevalvet tõhustada, võtab politsei lähiajal kasutusele tehnilise järelevalve seadmed, et tabada kiiruseületajaid ja fooritulede eirajaid.",Kihutaja jääb juhiloast ilma,Õhtuleht Kirjastus,Yes,Neutral
Harju maakohus rahuldas Vladimir Lebedevi ( 54 ) poolt politsei koostatud väärteootsuse peale esitatud kaebuse ning lõpetas väärteomenetluse.,Lebedev sai kohtus politsei üle õiguse,Ekspress Grupp,Yes,Neutral
"Hiljuti käis politsei käis korduvalt ahistamas Tallinnas kohvikut pidavat ettevõtjat Elvis Brauerit ning kasutas tema kallal vägivalda, vedades mehe oma kohvikust välja ja teine kord ukselt eemale, kuigi vastuhakku ta ei osutanud.",Ärme luba politseil muutuda miilitsaks!,muud,Yes,Negative
"Homme, 9. märtsil viib julgestuspolitsei liiklusjärelevalve üksus õhtusel tipptunnil Tallinna-Tartu maanteel läbi politseioperatsiooni, mille põhieesmärk on rahustada antud trassil liiklust.",Julgestuspolitsei rahustab homme Tallinna-Tartu maanteel liiklust,Ekspress Grupp,Yes,Neutral
Ida prefektuuri pressiesindaja Kristina Kostina sõnul on Lüganuse vallavolikogu liikme Juho Põllu suhtes alustatud väärteomenetlust korruptsioonivastase seaduse rikkumise alusel.,Vallavolinik politseiuurimise all,Ekspress Grupp,Yes,Neutral
Iga uus piirang tekitab järjest enam ja uusi piiranguid ja ühel päeval avastame ennast politseiriigist.,Karistamatud,Õhtuleht Kirjastus,No,NA
Jõuametite tegevust jälgides on mul kurb ja häbi – politsei on hakanud muutuma taas nõukogude aegseks miilitsaks,Ärme luba politseil muutuda miilitsaks!,muud,Yes,Negative
"Juhtimiskeskus edastas info politseipatrullile, kes mõne aja pärast leidis tüdrukud üles.",Noormehed jätsid tüdrukud tundmatus kohas tee äärde,Ekspress Grupp,Yes,Neutral
"Ka alkoholi ei olnud lubatud tarvitada. "" Kalmistu läheduses olid politseinikud ja kaitseliitlased, et võimalike provokatsioonide eest rahumeelseid inimesi kaitsta.",Koosolek ausamba juures läks rahumeelselt,muud,Yes,Neutral
"Ka politseiameti peadirektor Raivo Aeg nentis, et muudatuste järel suureneb eelkõige politseiameti osa liiklusohutuse tagamisel.",Kapo-taustaga Raigo Haabu tõusis üheks politseijuhiks,Ekspress Grupp,Yes,Neutral
"Ka viimasel nädalal Tallinnas aset leidnud sündmused näitavad, et politsei areneb",Mis taastaks politsei maine?,muud,Yes,Positive
"Kaitsepolitsei vahistas Maksim Reva, Dmitri Linteri ja Mark Sirõki 28. aprillil - Linter on samuti senini vahi all, kuid Sirõk on nüüdseks vabanenud, ütles Päevaleht Online'ile Maakohtu pressiesindaja Dagne Hanschmidt.",Kohus ei vabastanud Öise Vahtkonna liidrit,Ekspress Grupp,Yes,Neutral
"Kannatanu pöördus politseisse, kes algatas juhtunu kohta kriminaalmenetluse kelmuse paragrahvi järgi.",Naine langes libaloto ohvriks,Ekspress Grupp,Yes,Neutral
"Kaup tagastati kauplusele, politsei alustas mehe suhtes väärteomenetlust.",Politsei,muud,Yes,Neutral
Kella 16.15ks viib Kaitseliit koostöös politseiga võidutule Lüllemäele.,Võidupüha tähistamine Valgamaal,muud,Yes,Neutral
"Keskkonna järelevalve tõhustamiseks muretsetud ligi 12 miljonit krooni maksva Enstrom 480B tüüpi kopteri pärast käisid piirivalve lennusalga piloodid ja mehaanikud mullu sügisel ühendriikides koolitusel, kirjutab.",Keskkonnainspektsiooni kallis kopter seisis mitu kuud silmailuks,Ekspress Grupp,Yes,Neutral
"Keskkriminaalpolitsei pidas pikaajalise jälitustöö tulemusena 28. septembril Harjumaal ja Tallinnas kinni neli isikut, kellelt konfiskeeriti ligi 1,5 miljoni krooni ehk 30 000 doosi väärtuses amfetamiini.",Keskkriminaalpolitsei avastas Raasikul tegutsenud narkolabori,Ekspress Grupp,Yes,Neutral
